"Simplified","Traditional","Pinyin","Level","Meaning"
"医生","醫生","yi1sheng1","2","doctor"
"医院","醫院","yi1yuan4","2","hospital"
"卖","賣","mai4","2","to sell"
"准备","準備","zhun3bei4","2","preparation"
"一点","一點","yi1dian3","2","a bit"
"张","張","zhang1","2","to open up"
"中学","中學","zhong1xue2","2","middle school"
"年级","年級","nian2ji2","2","grade"
"纸","紙","zhi3","2","paper"
"问题","問題","wen4ti2","2","question"
"图书馆","圖書館","tu2shu1guan3","2","library"
"数学","數學","shu4xue2","2","mathematics"
"历史","歷史","li4shi3","2","history"
"餐厅","餐廳","can1ting1","2","dining hall"
"学习","學習","xue2xi2","2","to learn"
"参加","參加","can1jia1","2","to participate"
"画","畫","hua4","2","to draw"
"读","讀","du2","2","comma"
"会","會","hui4","2","can"
"为什么","為什麼","wei4shen2me","2","why?"
"下课","下課","xia4ke4","2","to finish class"
"说话","說話","shuo1hua4","2","to speak"
"考试","考試","kao3shi4","2","to take an exam"
"天气","天氣","tian1qi4","2","weather"
"门","門","men2","2","gate"
"客厅","客廳","ke4ting1","2","drawing room (room for arriving guests)"
"风","風","feng1","2","wind"
"鱼","魚","yu2","2","fish"
"树","樹","shu4","2","tree"
"热","熱","re4","2","to warm up"
"睡觉","睡覺","shui4jiao4","2","to go to bed"
"音乐","音樂","yin1yue4","2","music"
"运动","運動","yun4dong4","2","to move"
"开始","開始","kai1shi3","2","to begin"
"介绍","介紹","jie4shao4","2","to introduce (sb to sb)"
"换","換","huan4","2","to exchange"
"认识","認識","ren4shi","2","to know"
"没关系","沒關係","mei2guan1xi","2","it doesn't matter"
"怎么","怎麼","zen3me","2","how?"
"哪里","哪裡","na3li3","2","where?"
"这里","這裡, 這裏","zhe4li3","2","here"
"那里","那裡","na4li3","2","there"
"右边","右邊","you4bian1","2","right side"
"左边","左邊","zuo3bian1","2","left"
"旁边","旁邊","pang2bian1","2","lateral"
"中间","中間","zhong1jian1","2","between"
"地铁","地鐵","di4tie3","2","subway"
"离","離","li2","2","to leave"
"带","帶","dai4","2","band"
"进来","進來","jin4lai2","2","to come in"
"远","遠","yuan3","2","far"
"身体","身體","shen1ti3","2","the body"
"药","藥","yao4","2","medicine"
"双","雙","shuang1","2","two"
"裤子","褲子","ku4zi","2","trousers"
"市场","市場","shi4chang3","2","marketplace"
"长","長","chang2","2","length"
"一样","一樣","yi1yang4","2","same"
"苹果","蘋果","ping2guo3","2","apple"
"因为","因為","yin1wei4","2","because"
"公园","公園","gong1yuan2","3","park (for public recreation)"
"国家","國家","guo2jia1","3","country"
"电子邮件","電子郵件","dian4​zi3​you2​jian4","3","email"
"结婚","結婚","jie2hun1","3","to marry"
"小时","小時","xiao3shi2","3","hour"
"点钟","點鐘","dian3zhong1","3","(indicating time of day) o'clock"
"分钟","分鐘","fen1zhong1","3","minute"
"年轻","年輕","nian2qing1","3","young"
"紧张","緊張","jin3zhang1","3","nervous"
"可爱","可愛","ke3ai4","3","adorable"
"万","萬","wan4","3","ten thousand"
"办公室","辦公室","ban4gong1shi4","3","office"
"工厂","工廠","gong1chang3","3","factory"
"护士","護士","hu4shi4","3","nurse"
"司机","司機","si1ji1","3","chauffeur"
"老板","老闆","lao3ban3","3","Robam (brand)"
"小学","小學","xiao3xue2","3","elementary school"
"上学","上學","shang4xue2","3","to go to school"
"作业","作業","zuo4ye4","3","school assignment"
"功课","功課","gong1ke4","3","homework"
"请假","請假","qing3jia4","3","to request leave of absence"
"洗手间","洗手間","xi3shou3jian1","3","toilet"
"语言","語言","yu3yan2","3","language"
"科学","科學","ke1xue2","3","science"
"华语","華語","hua2yu3","3","Chinese language"
"课本","課本","ke4ben3","3","textbook"
"读书","讀書","du2shu1","3","to read a book"
"决定","決定","jue2ding4","3","to decide (to do something)"
"图片","圖片","tu2pian4","3","image"
"记得","記得","ji4de","3","to remember"
"房间","房間","fang2jian1","3","room"
"厨房","廚房","chu2fang2","3","kitchen"
"楼","樓","lou2","3","house with more than 1 story"
"楼上","樓上","lou2shang4","3","upstairs"
"楼下","樓下","lou2xia4","3","downstairs"
"电梯","電梯","dian4ti1","3","elevator"
"沙发","沙發","sha1fa1","3","sofa (loanword)"
"冷气","冷氣","leng3qi4","3","air conditioning (Tw)"
"安静","安靜","an1jing4","3","quiet"
"不错","不錯","bu4cuo4","3","correct"
"海边","海邊","hai3bian1","3","coast"
"马","馬","ma3","3","horse"
"鸟","鳥","niao3","3","penis"
"猫","貓","mao1","3","cat"
"鸡","雞","ji1","3","fowl"
"太阳","太陽","tai4yang2","3","sun"
"篮球","籃球","lan2qiu2","3","basketball"
"网球","網球","wang3qiu2","3","tennis"
"比赛","比賽","bi3sai4","3","competition (sports etc)"
"骑","騎","qi2","3","(Taiwan) saddle horse"
"脚踏车","腳踏車","jiao3ta4che1","3","bicycle"
"电影院","電影院","dian4ying3yuan4","3","cinema"
"上网","上網","shang4wang3","3","to go online"
"输","輸","shu1","3","to lose"
"赢","贏","ying2","3","to beat"
"有时候","有時候","you3shi2hou","3","sometimes"
"报纸","報紙","bao4zhi3","3","newspaper"
"不客气","不客氣","bu4ke4qi4","3","you're welcome"
"礼物","禮物","li3wu4","3","gift"
"欢迎","歡迎","huan1ying2","3","to welcome"
"晚会","晚會","wan3hui4","3","evening party"
"邮局","郵局","you2ju2","3","post office"
"银行","銀行","yin2hang2","3","bank"
"坏","壞","huai4","3","bad"
"帮忙","幫忙","bang1mang2","3","to help"
"计程车","計程車","ji4cheng2che1","3","taxi"
"车站","車站","che1zhan4","3","rail station"
"火车","火車","huo3che1","3","train"
"飞机","飛機","fei1ji1","3","airplane"
"飞机场","飛機場","fei1ji1chang3","3","airport"
"马路","馬路","ma3lu4","3","street"
"对面","對面","dui4mian4","3","(sitting) opposite"
"里面","裡面","li3mian4","3","inside"
"饭店","飯店","fan4dian4","3","restaurant"
"旅馆","旅館","lü3guan3","3","hotel"
"参观","參觀","can1guan1","3","to look around"
"地图","地圖","di4tu2","3","map"
"照相机","照相機","zhao4xiang4ji1","3","camera"
"风景","風景","feng1jing3","3","scenery"
"头","頭","tou2","3","head"
"头发","頭髮","tou2fa3","3","hair (on the head)"
"受伤","受傷","shou4shang1","3","to sustain injuries"
"饿","餓","e4","3","to be hungry"
"眼镜","眼鏡","yan3jing4","3","spectacles"
"颜色","顏色","yan2se4","3","color"
"黄色","黃色","huang2se4","3","yellow (color)"
"袜子","襪子","wa4zi","3","socks"
"饺子","餃子","jiao3zi","3","dumpling"
"面","麵","mian4","3","flour"
"汤","湯","tang1","3","rushing current"
"面包","麵包","mian4bao1","3","bread"
"饮料","飲料","yin3liao4","3","drink"
"菜单","菜單","cai4dan1","3","menu"
"盘子","盤子","pan2zi","3","tray"
"传真","傳真","chuan2zhen1","4","fax"
"时间","時間","shi2jian1","4","time"
"钟头","鐘頭","zhong1tou2","4","hour"
"礼拜","禮拜","li3bai4","4","week"
"礼拜天","禮拜天","li3bai4tian1","4","Sunday"
"后天","後天","hou4tian1","4","the day after tomorrow"
"从前","從前","cong2qian2","4","previously"
"一会儿","一會兒","yi1hui3er2","4","a moment"
"刚刚","剛剛","gang1gang1","4","just recently"
"刚才","剛才","gang1cai2","4","just now"
"当然","當然","dang1ran2","4","only natural"
"别人","別人","bie2ren2","4","other people"
"年纪","年紀","nian2ji4","4","age"
"习惯","習慣","xi2guan4","4","habit"
"父亲","父親","fu4qin1","4","father"
"母亲","母親","mu3qin1","4","mother"
"爷爷","爺爺","ye2ye","4","(coll.) father's father"
"关系","關係","guan1xi4","4","relation"
"开心","開心","kai1xin1","4","to feel happy"
"着急","著急","zhao1ji2","4","to worry"
"担心","擔心","dan1xin1","4","anxious"
"生气","生氣","sheng1qi4","4","to get angry"
"难过","難過","nan2guo4","4","to feel sad"
"伤心","傷心","shang1xin1","4","to grieve"
"美丽","美麗","mei3li4","4","beautiful"
"聪明","聰明","cong1ming2","4","intelligent"
"认真","認真","ren4zhen1","4","conscientious"
"礼貌","禮貌","li3mao4","4","courtesy"
"应该","應該","ying1gai1","4","ought to"
"经验","經驗","jing1yan4","4","experience"
"关心","關心","guan1xin1","4","to be concerned about"
"愿意","願意","yuan4yi4","4","to wish"
"可怜","可憐","ke3lian2","4","pitiful"
"职业","職業","zhi2ye4","4","occupation"
"教师","教師","jiao4shi1","4","teacher"
"经理","經理","jing1li3","4","manager"
"记者","記者","ji4zhe3","4","reporter"
"服务员","服務員","fu2​wu4​yuan2","4","waiter"
"顾客","顧客","gu4ke4","4","client"
"教书","教書","jiao1shu1","4","to teach (in a school)"
"开会","開會","kai1hui4","4","to hold a meeting"
"危险","危險","wei2xian3","4","danger"
"报告","報告","bao4gao4","4","to inform"
"机会","機會","ji1hui4","4","opportunity"
"计画","計畫","ji4hua4","4","variant of 計劃|计划[ji4 hua4]"
"学院","學院","xue2yuan4","4","college"
"小学生","小學生","xiao3xue2sheng1","4","primary school student"
"大学生","大學生","da4xue2sheng1","4","university student"
"同学","同學","tong2xue2","4","to study at the same school"
"校长","校長","xiao4zhang3","4","(college, university) president"
"毕业","畢業","bi4ye4","4","graduation"
"开学","開學","kai1xue2","4","foundation of a University or College"
"成绩","成績","cheng2ji1","4","achievement"
"学期","學期","xue2qi2","4","term"
"学费","學費","xue2fei4","4","tuition fee"
"服务","服務","fu2wu4","4","to serve"
"操场","操場","cao1chang3","4","playground"
"校园","校園","xiao4yuan2","4","campus"
"语法","語法","yu3fa3","4","grammar"
"汉语","漢語","han4yu3","4","Chinese language"
"书法","書法","shu1fa3","4","calligraphy"
"书桌","書桌","shu1zhuo1","4","desk"
"汉字","漢字","han4zi4","4","Chinese character"
"铅笔","鉛筆","qian1bi3","4","(lead) pencil"
"毛笔","毛筆","mao2bi3","4","writing brush"
"讲","講","jiang3","4","to speak"
"讲话","講話","jiang3hua4","4","a speech"
"告诉","告訴","gao4su4","4","to press charges"
"讨论","討論","tao3lun4","4","to discuss"
"认为","認為","ren4wei2","4","to believe"
"解释","解釋","jie3shi4","4","explanation"
"无聊","無聊","wu2liao2","4","bored"
"办法","辦法","ban4fa3","4","means"
"进步","進步","jin4bu4","4","progress"
"大楼","大樓","da4lou2","4","building (a relatively large, multi-storey one)"
"卧室","臥室","wo4shi4","4","bedroom"
"花园","花園","hua1yuan2","4","garden"
"门口","門口","men2kou3","4","doorway"
"楼梯","樓梯","lou2ti1","4","stair"
"墙","牆","qiang2","4","wall"
"洗衣机","洗衣機","xi3yi1ji1","4","washer"
"灯","燈","deng1","4","lamp"
"打开","打開","da3kai1","4","to open"
"邻居","鄰居","lin2ju1","4","neighbor"
"热闹","熱鬧","ren4ao","4","bustling with noise and excitement"
"满意","滿意","man3yi4","4","satisfied"
"干净","乾淨","gan1jing4","4","clean"
"开水","開水","kai1shui3","4","boiled water"
"乡下","鄉下","xiang1xia4","4","countryside"
"只","隻","zhi1","4","classifier for birds and certain animals, one of a pair, some utensils, vessels etc"
"动物","動物","dong4wu4","4","animal"
"猪","豬","zhu1","4","hog"
"云","雲","yun2","4","cloud"
"环境","環境","huan2jing4","4","environment"
"凉快","涼快","liang2kuai4","4","nice and cold"
"温暖","溫暖","wen1nuan3","4","warm"
"温度","溫度","wen1du4","4","temperature"
"空气","空氣","kong1qi4","4","air"
"发生","發生","fa1sheng1","4","to happen"
"发现","發現","fa1xian4","4","to find"
"照顾","照顧","zhao4gu4","4","to take care of"
"打扫","打掃","da3sao3","4","to clean"
"起来","起來","qi3lai2","4","to stand up"
"挂","掛","gua4","4","to hang or suspend (from a hook etc)"
"过年","過年","guo4nian2","4","to celebrate the Chinese New Year"
"结束","結束","jie2shu4","4","termination"
"博物馆","博物館","bo2wu4guan3","4","museum"
"节目","節目","jie2mu4","4","program"
"新闻","新聞","xin1wen2","4","news"
"体育","體育","ti3yu4","4","sports"
"网站","網站","wang3zhan4","4","website"
"经常","經常","jing1chang2","4","frequently"
"总是","總是","zong3shi4","4","always"
"已经","已經","yi3jing1","4","already"
"杂志","雜誌","za2zhi4","4","magazine"
"小说","小說","xiao3shuo1","4","novel"
"美术","美術","mei3shu4","4","art"
"艺术","藝術","yi4shu4","4","art"
"兴趣","興趣","xing4qu4","4","interest (desire to know about sth)"
"谈","談","tan2","4","to speak"
"迟到","遲到","chi2dao4","4","to arrive late"
"后来","後來","hou4lai2","4","afterwards"
"变","變","bian4","4","to change"
"乐器","樂器","yue4qi4","4","musical instrument"
"钢琴","鋼琴","gang1qin2","4","piano"
"活动","活動","huo2dong4","4","to exercise"
"怎么了","怎麼了","zen3mele","4","What's up?"
"怎么办","怎麼辦","zen3meban4","4","what's to be done"
"客气","客氣","ke4qi","4","polite"
"舞会","舞會","wu3hui4","4","dance"
"请客","請客","qing3ke4","4","to give a dinner party"
"庆祝","慶祝","qing4zhu4","4","to celebrate"
"听说","聽說","ting1shuo1","4","to hear (sth said)"
"感谢","感謝","gan3xie4","4","(express) thanks"
"见面","見面","jian4mian4","4","to meet"
"约","約","yue1","4","to weigh in a balance or on a scale"
"检查","檢查","jian3cha2","4","inspection"
"麻烦","麻煩","ma2fan","4","inconvenient"
"钱包","錢包","qian2bao1","4","purse"
"丢","丟","diu1","4","to lose"
"汽车","汽車","qi4che1","4","car"
"辆","輛","liang4","4","classifier for vehicles"
"停车场","停車場","ting2che1chang3","4","parking lot"
"起飞","起飛","qi3fei1","4","(of an aircraft) to take off"
"出来","出來","chu1lai2","4","to come out"
"进去","進去","jin4qu4","4","to go in"
"红绿灯","紅綠燈","hong2lü4deng1","4","traffic light"
"桥","橋","qiao2","4","bridge"
"这边","這邊","zhe4bian1","4","this side"
"这些","這些","zhe4xie1","4","these"
"那边","那邊","na4bian1","4","over there"
"旅游","旅遊","lü3you2","4","trip"
"动物园","動物園","dong4wu4yuan2","4","zoo"
"出发","出發","chu1fa1","4","to set off"
"离开","離開","li2kai1","4","to depart"
"南边","南邊","nan2bian1","4","south"
"西边","西邊","xi1bian1","4","west"
"北边","北邊","bei3bian1","4","north"
"东部","東部","dong1bu4","4","the east"
"东边","東邊","dong1bian1","4","east"
"经过","經過","jing1guo4","4","to pass"
"转","轉","zhuan3","4","to turn"
"过去","過去","guo4qu4","4","(in the) past"
"最后","最後","zui4hou4","4","final"
"外国","外國","wai4guo2","4","foreign (country)"
"护照","護照","hu4zhao4","4","passport"
"钥匙","鑰匙","yao4shi","4","key"
"出现","出現","chu1xian4","4","to appear"
"脸","臉","lian3","4","face"
"感觉","感覺","gan3jue2","4","to feel"
"救护车","救護車","jiu4hu4che1","4","ambulance"
"发烧","發燒","fa1shao1","4","to have a high temperature (from illness)"
"保险","保險","bao3xian3","4","insurance"
"挂号","掛號","gua4hao4","4","to register (at a hospital etc)"
"药房","藥房","yao4fang2","4","pharmacy"
"恢复","恢復","hui1fu4","4","to reinstate"
"影响","影響","ying3xiang3","4","influence"
"饱","飽","bao3","4","to eat till full"
"吃饱","吃飽","chi1bao3","4","to eat one's fill"
"简单","簡單","jian3dan1","4","simple"
"书店","書店","shu1dian4","4","bookstore"
"超级市场","超級市場","chao1ji2shi4chang3","4","supermarket"
"蓝色","藍色","lan2se4","4","blue (color)"
"绿色","綠色","lü4se4","4","green"
"红色","紅色","hong2se4","4","red (color)"
"衬衫","襯衫","chen4shan1","4","shirt"
"牛仔裤","牛仔褲","niu2zai3ku4","4","jeans"
"内衣","內衣","nei4yi1","4","undergarment"
"旧","舊","jiu4","4","old"
"价格","價格","jia4ge2","4","price"
"价钱","價錢","jia4qian2","4","price"
"排队","排隊","pai2dui4","4","to line up"
"比较","比較","bi3jiao4","4","to compare"
"样子","樣子","yang4zi","4","appearance"
"特别","特別","te4bie2","4","especially"
"圆","圓","yuan2","4","circle"
"看见","看見","kan4jiɑn","4","to see"
"声音","聲音","sheng1yin1","4","voice"
"大声","大聲","da4sheng1","4","loud voice"
"红茶","紅茶","hong2cha2","4","black tea"
"点菜","點菜","dian3cai4","4","to order dishes (in a restaurant)"
"咸","鹹","xian2","4","salted"
"点心","點心","dian3xin1","4","light refreshments"
"饼干","餅乾","bing3gan1","4","biscuit"
"汉堡","漢堡","han4bao3","4","hamburger (loanword)"
"盐","鹽","yan2","4","salt"
"条","條","tiao2","4","strip"
"种","種","zhong3","4","seed"
"够","夠","gou4","4","enough (sufficient)"
"许多","許多","xu3duo1","4","many"
"新鲜","新鮮","xin1xian","4","fresh (experience, food etc)"
"尝","嚐, 嘗","chang2, chang2shi4","4","to taste"
"装","裝","zhuang1","4","adornment"
"汤匙","湯匙","tang1chi2","4","soup spoon"
"没有","沒有","mei2you3","4","haven't"
"马上","馬上","ma3shang4","4","at once"
"让","讓","rang4","4","to yield"
"然后","然後","ran2hou4","4","after"
"虽然","雖然","sui1ran2","4","although"
"原来","原來","yuan2lai2","4","original"
"也许","也許","ye3xu3","4","perhaps"
"为了","為了","wei4le","4","in order to"
"必须","必須","bi4xu1","4","to have to"
"永远","永遠","yong3yuan3","4","forever"
"那么","那麼","na4me","4","like that"
"这么","這麼","zhe4me","4","so much"
"本来","本來","ben3lai2","4","original"
"爱情","愛情","ai4qing2","5","romance"
"爱惜","愛惜","ai4xi2","5","to cherish"
"爱心","愛心","ai4xin1","5","compassion"
"摆","擺","bai3","5","to arrange"
"百货公司","百貨公司","bai3huo4gong1si1","5","department store"
"班机","班機","ban1ji1","5","airliner"
"办理","辦理","ban4li3","5","to handle"
"帮助","幫助","bang1zhu4","5","assistance"
"榜样","榜樣","bang3yang4","5","example"
"宝贝","寶貝","bao3bei4","5","treasured object"
"宝贵","寶貴","bao3gui4","5","valuable"
"保护","保護","bao3hu4","5","to protect"
"保养","保養","bao3yang3","5","to take good care of (or conserve) one's health"
"保证","保證","bao3zheng4","5","guarantee"
"报名","報名","bao4ming2","5","to sign up"
"被动","被動","bei4dong4","5","passive"
"背后","背後","bei4hou4","5","behind"
"辈子","輩子","bei4zi","5","all one's life"
"毕竟","畢竟","bi4jing4","5","after all"
"变成","變成","bian4cheng2","5","to change into"
"变更","變更","bian4geng1","5","to change"
"变化","變化","bian4hua4","5","change"
"便条","便條","bian4tiao2","5","(informal) note"
"标准","標準","biao1zhun3","5","(an official) standard"
"表达","表達","biao3da2","5","to express"
"表现","表現","biao3xian4","5","to show"
"别的","別的","bie2de","5","else"
"冰块","冰塊","bing1kuai4","5","ice cube"
"不断","不斷","bu4duan4","5","unceasing"
"不过","不過","bu4guo4","5","only"
"不见","不見","bu4jian4","5","not to see"
"不论","不論","bu4lun4","5","whatever"
"不满","不滿","bu4man3","5","resentful"
"部门","部門","bu4men2","5","department"
"采用","採用","cai3yong4","5","to adopt"
"参考","參考","can1kao3","5","consultation"
"层","層","ceng2","5","layer"
"曾经","曾經","ceng2jing1","5","once"
"差别","差別","cha1bie2","5","difference"
"差异","差異","cha1yi4","5","difference"
"差点儿","差點兒","cha4dian3r","5","erhua variant of 差點|差点[cha4 dian3]"
"产品","產品","chan3pin3","5","goods"
"产生","產生","chan3sheng1","5","to arise"
"超过","超過","chao1guo4","5","to surpass"
"超级","超級","chao1ji2","5","super-"
"车祸","車禍","che1huo4","5","traffic accident"
"成长","成長","cheng2zhang3","5","to mature"
"承认","承認","cheng2ren4","5","to admit"
"诚实","誠實","cheng2shi2","5","honest"
"吃喝玩乐","吃喝玩樂","chi1he1wan2le4","5","to eat, drink and be merry (idiom)"
"充实","充實","chong1shi2","5","rich"
"虫","蟲","chong2","5","lower form of animal life, including insects, insect larvae, worms and similar creatures"
"丑","醜","chou3","5","shameful"
"出门","出門","chu1men2","5","to go out"
"厨师","廚師","chu2shi1","5","cook"
"处理","處理","chu3li3","5","to handle"
"传统","傳統","chuan2tong3","5","tradition"
"创造","創造","chuang4zao4","5","to create"
"春节","春節","chun1jie2","5","Spring Festival (Chinese New Year)"
"词","詞","ci2","5","word"
"从不","從不","cong2bu4","5","never"
"从来","從來","cong2lai2","5","always"
"从小","從小","cong2xiao3","5","from childhood"
"错误","錯誤","cuo4wu4","5","error"
"答应","答應","da1ying4","5","to answer"
"达成","達成","da2cheng2","5","to reach (an agreement)"
"打听","打聽","da3ting1","5","to ask about"
"大多数","大多數","da4duo1shu4","5","(great) majority"
"大会","大會","da4hui4","5","general assembly"
"大陆","大陸","da4lu4","5","mainland China (reference to the PRC)"
"大门","大門","da4men2","5","entrance"
"大约","大約","da4yue1","5","approximately"
"带来","帶來","dai4lai2","5","to bring"
"带领","帶領","dai4ling3","5","to guide"
"单纯","單純","dan1chun2","5","simple"
"单身","單身","dan1shen1","5","unmarried"
"担任","擔任","dan1ren4","5","to hold a governmental office or post"
"当场","當場","dang1chang3","5","at the scene"
"当地","當地","dang1di4","5","local"
"当面","當面","dang1mian4","5","to sb's face"
"当年","當年","dang1nian2","5","in those days"
"当天","當天","dang4tian1","5","on that day"
"当中","當中","dang1zhong1","5","among"
"当作","當作","dang4zuo4","5","to treat as"
"当做","當做","dang4zuo4","5","to treat as"
"岛","島","dao3","5","island"
"导演","導演","dao3yan3","5","to direct"
"到处","到處","dao4chu4","5","everywhere"
"的话","的話","dehua4","5","if (coming after a conditional clause)"
"灯光","燈光","deng1guang1","5","(stage) lighting"
"敌人","敵人","di2ren2","5","enemy"
"抵达","抵達","di3da2","5","to arrive"
"地带","地帶","di4dai4","5","zone"
"地点","地點","di4dian3","5","place"
"地区","地區","di4qu1","5","local"
"地摊","地攤","di4tan1","5","street stall with goods laid out on the ground"
"电车","電車","dian4che1","5","trolleybus"
"电池","電池","dian4chi2","5","battery"
"电灯","電燈","dian4deng1","5","electric light"
"店员","店員","dian4yuan2","5","shop assistant"
"调查","調查","diao4cha2","5","investigation"
"订","訂","ding4","5","to agree"
"东北","東北","dong1bei3","5","Northeast China"
"东方","東方","dong1fang1","5","the East"
"东南","東南","dong1nan2","5","southeast"
"豆浆","豆漿","dou4jiang1","5","soy milk"
"独特","獨特","du2te4","5","unique"
"读者","讀者","du2zhe3","5","reader"
"对方","對方","dui4fang1","5","counterpart"
"对话","對話","dui4hua4","5","dialogue"
"对了","對了","dui4le","5","Correct!"
"对象","對象","dui4xiang4","5","target"
"多么","多麼","duo1me","5","how (wonderful etc)"
"顿","頓","dun4","5","to stop"
"儿童","兒童","er2tong2","5","child"
"发表","發表","fa1biao3","5","to issue"
"发财","發財","fa1cai2","5","to get rich"
"发出","發出","fa1chu1","5","to issue (an order, decree etc)"
"发达","發達","fa1da2","5","developed (country etc)"
"发挥","發揮","fa1hui1","5","to display"
"发觉","發覺","fa1jue2","5","to become aware"
"发明","發明","fa1ming2","5","to invent"
"发脾气","發脾氣","fa1pi2qi","5","to get angry"
"发票","發票","fa1piao4","5","invoice"
"翻译","翻譯","fan1yi4","5","to translate"
"烦恼","煩惱","fan2nao3","5","to be worried"
"反应","反應","fan3ying4","5","to react"
"范围","範圍","fan4wei2","5","range"
"房东","房東","fang2dong1","5","landlord"
"访问","訪問","fang3wen4","5","to visit"
"费用","費用","fei4yong4","5","cost"
"分开","分開","fen1kai1","5","to separate"
"丰富","豐富","feng1fu4","5","to enrich"
"风格","風格","feng1ge2","5","style"
"风俗","風俗","feng1su2","5","social custom"
"否则","否則","fou3ze2","5","if not"
"夫妇","夫婦","fu1fu4","5","a (married) couple"
"服装","服裝","fu2zhuang1","5","dress"
"腐败","腐敗","fu3bai4","5","corruption"
"负担","負擔","fu4dan1","5","burden"
"负责","負責","fu4ze2","5","to be in charge of"
"复习","複習","fu4xi2","5","variant of 復習|复习[fu4 xi2]"
"改变","改變","gai3bian4","5","to change"
"改进","改進","gai3jin4","5","to improve"
"盖","蓋","gai4","5","lid"
"赶","趕","gan3","5","to overtake"
"赶快","趕快","gan3kuai4","5","at once"
"赶上","趕上","gan3shang4","5","to keep up with"
"感动","感動","gan3dong4","5","to move (sb)"
"感兴趣","感興趣","gan3xing4qu4","5","to be interested"
"个人","個人","ge4ren2","5","individual"
"个子","個子","ge4zi","5","height"
"各式各样","各式各樣","ge4shi4ge4yang4","5","(of) all kinds and sorts"
"根据","根據","gen1ju4","5","according to"
"工业","工業","gong1ye4","5","industry"
"贡献","貢獻","gong4xian4","5","to contribute"
"沟通","溝通","gou1tong1","5","to join"
"购买","購買","gou4mai3","5","to purchase"
"观察","觀察","guan1cha2","5","to observe"
"观点","觀點","guan1dian3","5","point of view"
"观念","觀念","guan1nian4","5","notion"
"观众","觀眾","guan1zhong4","5","spectators"
"广播","廣播","guang3bo4","5","broadcast"
"广场","廣場","guang3chang3","5","public square"
"广告","廣告","guang3gao4","5","to advertise"
"规矩","規矩","gui1ju3","5","lit. compass and set square"
"规模","規模","gui1mo2","5","scale"
"贵姓","貴姓","gui4xing4","5","what is your surname?"
"柜子","櫃子","gui4zi","5","cupboard"
"国内","國內","guo2nei4","5","domestic"
"国外","國外","guo2wai4","5","abroad"
"国王","國王","guo2wang2","5","king"
"国语","國語","guo2yu3","5","Chinese language (Mandarin), emphasizing its national nature"
"过日子","過日子","guo4ri4zi","5","to live one's life"
"还好","還好","hai2hao3","5","not bad"
"海报","海報","hai3bao4","5","poster"
